names,rSCP,lSCP,rMCP,lMCP,rICP,lICP
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl01/label/sub-camctl01_ses-1_T1w,0.3604,0.3175,4.4690,4.7846,1.4768,1.6495
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl01/label/sub-camctl01_ses-2_T1w,0.3633,0.3225,4.4267,4.8036,1.4327,1.6418
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl01/label/sub-camctl01_ses-3_T1w,0.3638,0.3130,4.3945,4.6585,1.4009,1.6081
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl04/label/sub-camctl04_ses-1_T1w,0.3354,0.3129,4.2211,4.7231,1.3142,1.4818
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl04/label/sub-camctl04_ses-2_T1w,0.3228,0.3122,4.2221,4.7988,1.3152,1.4597
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl05/label/sub-camctl05_ses-1_T1w,0.3261,0.2909,4.1270,4.5892,1.2119,1.5073
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl05/label/sub-camctl05_ses-2_T1w,0.3093,0.2770,4.0810,4.5600,1.2689,1.4464
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl06/label/sub-camctl06_ses-1_T1w,0.3401,0.3164,4.1555,4.4489,1.3539,1.4679
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl06/label/sub-camctl06_ses-2_T1w,0.3444,0.3438,4.1722,4.5292,1.3426,1.5007
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl07/label/sub-camctl07_ses-1_T1w,0.3317,0.3160,4.0787,4.5248,1.2655,1.5040
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl07/label/sub-camctl07_ses-2_T1w,0.3360,0.3225,4.1209,4.4577,1.3005,1.5276
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl08/label/sub-camctl08_ses-1_T1w,0.2831,0.2664,3.7607,4.1309,1.2014,1.3234
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl08/label/sub-camctl08_ses-2_T1w,0.2899,0.2551,3.7369,4.0895,1.1574,1.3102
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl08/label/sub-camctl08_ses-3_T1w,0.2592,0.2639,3.7092,4.0407,1.1836,1.3222
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl09/label/sub-camctl09_ses-1_T1w,0.2858,0.3042,3.8358,4.3036,1.3032,1.4685
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl09/label/sub-camctl09_ses-2_T1w,0.3041,0.2871,3.7946,4.1775,1.2630,1.4358
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl09/label/sub-camctl09_ses-3_T1w,0.3222,0.3061,3.8344,4.2191,1.2858,1.4665
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl10/label/sub-camctl10_ses-1_T1w,0.2843,0.2550,3.8101,4.3218,1.2559,1.4131
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl10/label/sub-camctl10_ses-2_T1w,0.2986,0.2857,3.8902,4.2788,1.3107,1.4699
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl11/label/sub-camctl11_ses-1_T1w,0.3004,0.3002,3.4348,4.0270,1.2701,1.5235
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl11/label/sub-camctl11_ses-2_T1w,0.3137,0.2671,3.5847,4.0494,1.3370,1.4722
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl12/label/sub-camctl12_ses-1_T1w,0.2672,0.2942,3.7766,4.1833,1.2080,1.4614
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl12/label/sub-camctl12_ses-2_T1w,0.2953,0.2636,3.7493,4.1338,1.1878,1.4500
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl14/label/sub-camctl14_ses-1_T1w,0.3497,0.3288,4.1797,4.7116,1.4132,1.6035
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl14/label/sub-camctl14_ses-2_T1w,0.3525,0.3538,4.1405,4.7610,1.4156,1.5763
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl15/label/sub-camctl15_ses-1_T1w,0.2501,0.2492,3.3260,3.7511,1.1134,1.3320
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl15/label/sub-camctl15_ses-2_T1w,0.2806,0.2412,3.2580,3.7056,1.1343,1.2796
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl15/label/sub-camctl15_ses-3_T1w,0.2742,0.2491,3.3609,3.6392,1.0781,1.2947
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl16/label/sub-camctl16_ses-1_T1w,0.2940,0.2876,3.7025,3.9024,1.2452,1.3531
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl16/label/sub-camctl16_ses-2_T1w,0.3072,0.2967,3.6766,3.8815,1.2163,1.4544
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl16/label/sub-camctl16_ses-3_T1w,0.3206,0.2936,3.6846,3.8067,1.2315,1.3996
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl17/label/sub-camctl17_ses-1_T1w,0.2336,0.2474,3.3384,3.6805,1.1032,1.3004
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl17/label/sub-camctl17_ses-2_T1w,0.2520,0.2434,3.3691,3.6808,1.0428,1.2338
/fs04/scratch2/gy81/lachlan/MATLAB/cat12_processing/sub-camctl17/label/sub-camctl17_ses-3_T1w,0.2727,0.2381,3.4412,3.8047,1.0933,1.3101
