feature,coef_mean,coef_p2_5,coef_p97_5,pct_nonzero
age_at_scan,-0.03558874829123715,-0.09955941734076852,0.019818902421262354,1.0
age_at_onset,-0.09570204714785117,-0.1531453428120635,-0.03425611519570655,1.0
disease_duration,0.06639825361606115,0.0077179643019703505,0.11211011094614504,1.0
disease_duration_to_10,0.0,0.0,0.0,0.0
disease_duration_10_up,0.06639825361606114,0.007717964301970343,0.11211011094614504,1.0
sex,0.05715989392624146,-0.021956197722420183,0.13476063007883737,1.0
GAA1,0.12059346336354416,0.04319486207620858,0.19071118555975922,1.0
GAA2,0.06074907917487,-0.022064277244404774,0.14064140778528725,1.0
SCP,-0.07351490543845525,-0.10812086568179259,-0.03818325298316082,1.0
MCP,-0.04923045299225822,-0.08486881957163595,-0.018510106926568622,1.0
ICP,-0.04661968180787249,-0.08150783521535404,-0.010352484385173409,1.0
Midbrain,-0.022675148888544407,-0.08057401546232944,0.03909880116632716,1.0
Pons,-0.06828848060127497,-0.08993634996813768,-0.04464993186475862,1.0
Medulla,-0.051993248111396405,-0.09209362690161456,-0.005526147998538993,1.0
AntCBLM,-0.04000789090741105,-0.1036493646209544,0.015527100551221737,1.0
SupPostCBLM,-0.0010055509988144086,-0.07376462300924204,0.0587254478573418,1.0
InfPostCBLM,0.024525822939752154,-0.06987811032133925,0.10620416115986053,1.0
FlocCBLM,0.00532520456317892,-0.06861011768116976,0.08804315526439664,1.0
VermisCBLM,0.018777904058979982,-0.04692368834025463,0.07374625337898269,1.0
FASCP,-0.04756031270796952,-0.1296377927317144,0.04372259433473588,1.0
FAMCP,-0.08978027153615417,-0.15949673664359773,-0.01701771793608064,1.0
FAICP,-0.0647286507331886,-0.1199394053109204,0.00521968807482137,1.0
MDSCP,0.0452006858036219,-0.0021672264566393647,0.08274345647494545,1.0
MDMCP,-0.02516573110927278,-0.0684634847055456,0.021330295559895147,1.0
MDICP,0.02104105324887329,-0.03341730141243297,0.05976916878337309,1.0
ADSCP,0.03674766217218402,-0.02076206647608301,0.08159018016708253,1.0
ADMCP,-0.01763279756857575,-0.05803981132312278,0.03165543942785139,1.0
ADICP,-0.00502937069045163,-0.08838538487050875,0.0689964068639983,1.0
RDSCP,0.04149003778807963,-0.01285880383343297,0.08579422073827526,1.0
RDMCP,-0.013694880429452001,-0.05446582892347506,0.04122845853530431,1.0
RDICP,0.03994379215111799,-0.009760604863636975,0.0818833750372809,1.0
