feature,coef_mean,coef_p2_5,coef_p97_5,pct_nonzero
age_at_scan,-0.024520630845773307,-0.07896585096542393,0.03347535614994488,1.0
age_at_onset,-0.07194571018909206,-0.11785801589262498,-0.01635768245174293,1.0
disease_duration,0.05388956854800987,-0.009998383969053747,0.10941048941873209,1.0
disease_duration_to_10,0.0,0.0,0.0,0.0
disease_duration_10_up,0.05388956854800985,-0.009998383969053752,0.10941048941873209,1.0
sex,0.011555134643272305,-0.08404064838057711,0.10088608991912876,1.0
GAA1,0.10098327217251189,0.013127863066458741,0.1912649194360711,1.0
GAA2,0.09664541526720224,0.009886359602881723,0.17884358211271797,1.0
SCP,-0.056882947004664036,-0.09069630185385699,-0.006210441423756721,1.0
MCP,-0.05856110134697043,-0.08611403277088794,-0.02645270032249607,1.0
ICP,-0.04419556005282891,-0.07842869045670213,-0.0007325555411428971,1.0
Midbrain,-0.002015912084342043,-0.062078048872500007,0.07523167409492158,1.0
Pons,-0.0702583583927618,-0.09247449088189531,-0.04575571674766914,1.0
Medulla,-0.05895278783313223,-0.10337022095769974,-0.01691565689806596,1.0
AntCBLM,-0.06738861756685764,-0.12377590912300437,-0.0003098488056388276,1.0
SupPostCBLM,-0.06323450554429928,-0.1409681137181401,0.02824414829878153,1.0
InfPostCBLM,0.018945649126338865,-0.06611085505688565,0.09716478080980984,1.0
FlocCBLM,-0.03541476437682151,-0.1372930457682609,0.04730411239402186,1.0
VermisCBLM,0.0064569310420803045,-0.05510781048549869,0.0821883992887891,1.0
FASCP,-0.004186036450182324,-0.0830739354279166,0.07918140960215092,1.0
FAMCP,-0.08173513851404034,-0.15269965550327225,0.011849322639751322,1.0
FAICP,-0.06980965391038009,-0.15861467851181335,0.015552455851347954,1.0
MDSCP,0.01970364521056184,-0.03852814982697223,0.06302167906695613,1.0
MDMCP,-0.020564509167493097,-0.07246339154919533,0.025878241809866014,1.0
MDICP,0.0051742431862634225,-0.05457144173047554,0.053721975396049455,1.0
ADSCP,0.023880298237758883,-0.033068678623812575,0.06422864435955337,1.0
ADMCP,-0.03319638244422718,-0.09161093389515047,0.04499128869840284,1.0
ADICP,-0.021042181909502113,-0.08597488808442505,0.05527369489924714,1.0
RDSCP,0.010871412379869546,-0.05096639375537053,0.05539154614847707,1.0
RDMCP,-0.026224511467966907,-0.07720626737948431,0.024298256075707184,1.0
RDICP,0.00044778152905214044,-0.05514853914417957,0.054204863415946075,1.0
